id,tier,handed,core,enchant,is_artefact_component,is_final_item,requires_artefact,offhand_family
T4_ARTEFACT_2H_ENIGMATICORB_MORGANA,4,2H,ENIGMATICORB_MORGANA,0,True,False,False,
T4_ARTEFACT_2H_FIRESTAFF_HELL,4,2H,FIRESTAFF_HELL,0,True,False,False,
T4_ARTEFACT_2H_HALBERD_MORGANA,4,2H,HALBERD_MORGANA,0,True,False,False,
T4_ARTEFACT_2H_HAMMER_UNDEAD,4,2H,HAMMER_UNDEAD,0,True,False,False,
T4_ARTEFACT_2H_HARPOON_HELL,4,2H,HARPOON_HELL,0,True,False,False,
T4_ARTEFACT_MAIN_HOLYSTAFF_MORGANA,4,MAIN,HOLYSTAFF_MORGANA,0,True,False,False,
T4_ARTEFACT_2H_HOLYSTAFF_HELL,4,2H,HOLYSTAFF_HELL,0,True,False,False,
T4_ARTEFACT_2H_HOLYSTAFF_UNDEAD,4,2H,HOLYSTAFF_UNDEAD,0,True,False,False,
T4_ARTEFACT_2H_ICECRYSTAL_UNDEAD,4,2H,ICECRYSTAL_UNDEAD,0,True,False,False,
T4_ARTEFACT_2H_ICEGAUNTLETS_HELL,4,2H,ICEGAUNTLETS_HELL,0,True,False,False,
T4_ARTEFACT_2H_INFERNOSTAFF_MORGANA,4,2H,INFERNOSTAFF_MORGANA,0,True,False,False,
T4_ARTEFACT_2H_IRONGAUNTLETS_HELL,4,2H,IRONGAUNTLETS_HELL,0,True,False,False,
T4_ARTEFACT_2H_LONGBOW_UNDEAD,4,2H,LONGBOW_UNDEAD,0,True,False,False,
T4_ARTEFACT_2H_MACE_MORGANA,4,2H,MACE_MORGANA,0,True,False,False,
T4_ARTEFACT_2H_NATURESTAFF_HELL,4,2H,NATURESTAFF_HELL,0,True,False,False,
T4_ARTEFACT_2H_NATURESTAFF_KEEPER,4,2H,NATURESTAFF_KEEPER,0,True,False,False,
T4_ARTEFACT_2H_RAM_KEEPER,4,2H,RAM_KEEPER,0,True,False,False,
T4_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,4,2H,REPEATINGCROSSBOW_UNDEAD,0,True,False,False,
T4_ARTEFACT_2H_ROCKSTAFF_KEEPER,4,2H,ROCKSTAFF_KEEPER,0,True,False,False,
T4_ARTEFACT_2H_SKULLORB_HELL,4,2H,SKULLORB_HELL,0,True,False,False,
T4_ARTEFACT_2H_TRIDENT_UNDEAD,4,2H,TRIDENT_UNDEAD,0,True,False,False,
T4_ARTEFACT_2H_TWINSCYTHE_HELL,4,2H,TWINSCYTHE_HELL,0,True,False,False,
T4_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD,4,MAIN,ARCANESTAFF_UNDEAD,0,True,False,False,
T4_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD,4,MAIN,CURSEDSTAFF_UNDEAD,0,True,False,False,
T4_ARTEFACT_MAIN_FIRESTAFF_KEEPER,4,MAIN,FIRESTAFF_KEEPER,0,True,False,False,
T4_ARTEFACT_MAIN_FROSTSTAFF_KEEPER,4,MAIN,FROSTSTAFF_KEEPER,0,True,False,False,
T4_ARTEFACT_MAIN_MACE_HELL,4,MAIN,MACE_HELL,0,True,False,False,
T4_ARTEFACT_MAIN_NATURESTAFF_KEEPER,4,MAIN,NATURESTAFF_KEEPER,0,True,False,False,
T4_ARTEFACT_MAIN_RAPIER_MORGANA,4,MAIN,RAPIER_MORGANA,0,True,False,False,
T4_ARTEFACT_MAIN_ROCKMACE_KEEPER,4,MAIN,ROCKMACE_KEEPER,0,True,False,False,
T4_ARTEFACT_MAIN_SCIMITAR_MORGANA,4,MAIN,SCIMITAR_MORGANA,0,True,False,False,
T4_ARTEFACT_MAIN_SPEAR_KEEPER,4,MAIN,SPEAR_KEEPER,0,True,False,False,
T5_ARTEFACT_2H_ARCANESTAFF_HELL,5,2H,ARCANESTAFF_HELL,0,True,False,False,
T5_ARTEFACT_2H_BOW_HELL,5,2H,BOW_HELL,0,True,False,False,
T5_ARTEFACT_2H_BOW_KEEPER,5,2H,BOW_KEEPER,0,True,False,False,
T5_ARTEFACT_2H_CLEAVER_HELL,5,2H,CLEAVER_HELL,0,True,False,False,
T5_ARTEFACT_2H_COMBATSTAFF_MORGANA,5,2H,COMBATSTAFF_MORGANA,0,True,False,False,
T5_ARTEFACT_2H_CROSSBOWLARGE_MORGANA,5,2H,CROSSBOWLARGE_MORGANA,0,True,False,False,
T5_ARTEFACT_2H_DUALAXE_KEEPER,5,2H,DUALAXE_KEEPER,0,True,False,False,
T5_ARTEFACT_2H_DUALCROSSBOW_HELL,5,2H,DUALCROSSBOW_HELL,0,True,False,False,
T5_ARTEFACT_2H_DUALHAMMER_HELL,5,2H,DUALHAMMER_HELL,0,True,False,False,
T5_ARTEFACT_2H_DUALSCIMITAR_UNDEAD,5,2H,DUALSCIMITAR_UNDEAD,0,True,False,False,
T5_ARTEFACT_2H_DUALSICKLE_UNDEAD,5,2H,DUALSICKLE_UNDEAD,0,True,False,False,
T5_ARTEFACT_2H_ENIGMATICORB_MORGANA,5,2H,ENIGMATICORB_MORGANA,0,True,False,False,
T5_ARTEFACT_2H_FIRESTAFF_HELL,5,2H,FIRESTAFF_HELL,0,True,False,False,
T5_ARTEFACT_2H_HALBERD_MORGANA,5,2H,HALBERD_MORGANA,0,True,False,False,
T5_ARTEFACT_2H_HAMMER_UNDEAD,5,2H,HAMMER_UNDEAD,0,True,False,False,
T5_ARTEFACT_2H_HARPOON_HELL,5,2H,HARPOON_HELL,0,True,False,False,
T5_ARTEFACT_MAIN_HOLYSTAFF_MORGANA,5,MAIN,HOLYSTAFF_MORGANA,0,True,False,False,
T5_ARTEFACT_2H_HOLYSTAFF_HELL,5,2H,HOLYSTAFF_HELL,0,True,False,False,
T5_ARTEFACT_2H_HOLYSTAFF_UNDEAD,5,2H,HOLYSTAFF_UNDEAD,0,True,False,False,
T5_ARTEFACT_2H_ICECRYSTAL_UNDEAD,5,2H,ICECRYSTAL_UNDEAD,0,True,False,False,
T5_ARTEFACT_2H_ICEGAUNTLETS_HELL,5,2H,ICEGAUNTLETS_HELL,0,True,False,False,
T5_ARTEFACT_2H_INFERNOSTAFF_MORGANA,5,2H,INFERNOSTAFF_MORGANA,0,True,False,False,
T5_ARTEFACT_2H_IRONGAUNTLETS_HELL,5,2H,IRONGAUNTLETS_HELL,0,True,False,False,
T5_ARTEFACT_2H_LONGBOW_UNDEAD,5,2H,LONGBOW_UNDEAD,0,True,False,False,
T5_ARTEFACT_2H_MACE_MORGANA,5,2H,MACE_MORGANA,0,True,False,False,
T5_ARTEFACT_2H_NATURESTAFF_HELL,5,2H,NATURESTAFF_HELL,0,True,False,False,
T5_ARTEFACT_2H_NATURESTAFF_KEEPER,5,2H,NATURESTAFF_KEEPER,0,True,False,False,
T5_ARTEFACT_2H_RAM_KEEPER,5,2H,RAM_KEEPER,0,True,False,False,
T5_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,5,2H,REPEATINGCROSSBOW_UNDEAD,0,True,False,False,
T5_ARTEFACT_2H_ROCKSTAFF_KEEPER,5,2H,ROCKSTAFF_KEEPER,0,True,False,False,
T4_ARTEFACT_2H_SCYTHE_HELL,4,2H,SCYTHE_HELL,0,True,False,False,
T5_ARTEFACT_2H_SCYTHE_HELL,5,2H,SCYTHE_HELL,0,True,False,False,
T6_ARTEFACT_2H_SCYTHE_HELL,6,2H,SCYTHE_HELL,0,True,False,False,
T7_ARTEFACT_2H_SCYTHE_HELL,7,2H,SCYTHE_HELL,0,True,False,False,
T8_ARTEFACT_2H_SCYTHE_HELL,8,2H,SCYTHE_HELL,0,True,False,False,
T5_ARTEFACT_2H_SKULLORB_HELL,5,2H,SKULLORB_HELL,0,True,False,False,
T5_ARTEFACT_2H_TRIDENT_UNDEAD,5,2H,TRIDENT_UNDEAD,0,True,False,False,
T5_ARTEFACT_2H_TWINSCYTHE_HELL,5,2H,TWINSCYTHE_HELL,0,True,False,False,
T5_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD,5,MAIN,ARCANESTAFF_UNDEAD,0,True,False,False,
T5_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD,5,MAIN,CURSEDSTAFF_UNDEAD,0,True,False,False,
T5_ARTEFACT_MAIN_FIRESTAFF_KEEPER,5,MAIN,FIRESTAFF_KEEPER,0,True,False,False,
T5_ARTEFACT_MAIN_FROSTSTAFF_KEEPER,5,MAIN,FROSTSTAFF_KEEPER,0,True,False,False,
T5_ARTEFACT_MAIN_MACE_HELL,5,MAIN,MACE_HELL,0,True,False,False,
T5_ARTEFACT_MAIN_NATURESTAFF_KEEPER,5,MAIN,NATURESTAFF_KEEPER,0,True,False,False,
T5_ARTEFACT_MAIN_RAPIER_MORGANA,5,MAIN,RAPIER_MORGANA,0,True,False,False,
T5_ARTEFACT_MAIN_ROCKMACE_KEEPER,5,MAIN,ROCKMACE_KEEPER,0,True,False,False,
T5_ARTEFACT_MAIN_SCIMITAR_MORGANA,5,MAIN,SCIMITAR_MORGANA,0,True,False,False,
T5_ARTEFACT_MAIN_SPEAR_KEEPER,5,MAIN,SPEAR_KEEPER,0,True,False,False,
T6_ARTEFACT_2H_ARCANESTAFF_HELL,6,2H,ARCANESTAFF_HELL,0,True,False,False,
T6_ARTEFACT_2H_BOW_HELL,6,2H,BOW_HELL,0,True,False,False,
T6_ARTEFACT_2H_BOW_KEEPER,6,2H,BOW_KEEPER,0,True,False,False,
T6_ARTEFACT_2H_CLEAVER_HELL,6,2H,CLEAVER_HELL,0,True,False,False,
T6_ARTEFACT_2H_COMBATSTAFF_MORGANA,6,2H,COMBATSTAFF_MORGANA,0,True,False,False,
T6_ARTEFACT_2H_CROSSBOWLARGE_MORGANA,6,2H,CROSSBOWLARGE_MORGANA,0,True,False,False,
T6_ARTEFACT_2H_DUALAXE_KEEPER,6,2H,DUALAXE_KEEPER,0,True,False,False,
T6_ARTEFACT_2H_DUALCROSSBOW_HELL,6,2H,DUALCROSSBOW_HELL,0,True,False,False,
T6_ARTEFACT_2H_DUALHAMMER_HELL,6,2H,DUALHAMMER_HELL,0,True,False,False,
T6_ARTEFACT_2H_DUALSCIMITAR_UNDEAD,6,2H,DUALSCIMITAR_UNDEAD,0,True,False,False,
T6_ARTEFACT_2H_DUALSICKLE_UNDEAD,6,2H,DUALSICKLE_UNDEAD,0,True,False,False,
T6_ARTEFACT_2H_ENIGMATICORB_MORGANA,6,2H,ENIGMATICORB_MORGANA,0,True,False,False,
T6_ARTEFACT_2H_FIRESTAFF_HELL,6,2H,FIRESTAFF_HELL,0,True,False,False,
T6_ARTEFACT_2H_HALBERD_MORGANA,6,2H,HALBERD_MORGANA,0,True,False,False,
T6_ARTEFACT_2H_HAMMER_UNDEAD,6,2H,HAMMER_UNDEAD,0,True,False,False,
T6_ARTEFACT_2H_HARPOON_HELL,6,2H,HARPOON_HELL,0,True,False,False,
T6_ARTEFACT_MAIN_HOLYSTAFF_MORGANA,6,MAIN,HOLYSTAFF_MORGANA,0,True,False,False,
T6_ARTEFACT_2H_HOLYSTAFF_HELL,6,2H,HOLYSTAFF_HELL,0,True,False,False,
T6_ARTEFACT_2H_HOLYSTAFF_UNDEAD,6,2H,HOLYSTAFF_UNDEAD,0,True,False,False,
T6_ARTEFACT_2H_ICECRYSTAL_UNDEAD,6,2H,ICECRYSTAL_UNDEAD,0,True,False,False,
T6_ARTEFACT_2H_ICEGAUNTLETS_HELL,6,2H,ICEGAUNTLETS_HELL,0,True,False,False,
T6_ARTEFACT_2H_INFERNOSTAFF_MORGANA,6,2H,INFERNOSTAFF_MORGANA,0,True,False,False,
T6_ARTEFACT_2H_IRONGAUNTLETS_HELL,6,2H,IRONGAUNTLETS_HELL,0,True,False,False,
T6_ARTEFACT_2H_LONGBOW_UNDEAD,6,2H,LONGBOW_UNDEAD,0,True,False,False,
T6_ARTEFACT_2H_MACE_MORGANA,6,2H,MACE_MORGANA,0,True,False,False,
T6_ARTEFACT_2H_NATURESTAFF_HELL,6,2H,NATURESTAFF_HELL,0,True,False,False,
T6_ARTEFACT_2H_NATURESTAFF_KEEPER,6,2H,NATURESTAFF_KEEPER,0,True,False,False,
T6_ARTEFACT_2H_RAM_KEEPER,6,2H,RAM_KEEPER,0,True,False,False,
T6_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,6,2H,REPEATINGCROSSBOW_UNDEAD,0,True,False,False,
T6_ARTEFACT_2H_ROCKSTAFF_KEEPER,6,2H,ROCKSTAFF_KEEPER,0,True,False,False,
T6_ARTEFACT_2H_SKULLORB_HELL,6,2H,SKULLORB_HELL,0,True,False,False,
T6_ARTEFACT_2H_TRIDENT_UNDEAD,6,2H,TRIDENT_UNDEAD,0,True,False,False,
T6_ARTEFACT_2H_TWINSCYTHE_HELL,6,2H,TWINSCYTHE_HELL,0,True,False,False,
T6_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD,6,MAIN,ARCANESTAFF_UNDEAD,0,True,False,False,
T6_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD,6,MAIN,CURSEDSTAFF_UNDEAD,0,True,False,False,
T6_ARTEFACT_MAIN_FIRESTAFF_KEEPER,6,MAIN,FIRESTAFF_KEEPER,0,True,False,False,
T6_ARTEFACT_MAIN_FROSTSTAFF_KEEPER,6,MAIN,FROSTSTAFF_KEEPER,0,True,False,False,
T6_ARTEFACT_MAIN_MACE_HELL,6,MAIN,MACE_HELL,0,True,False,False,
T6_ARTEFACT_MAIN_NATURESTAFF_KEEPER,6,MAIN,NATURESTAFF_KEEPER,0,True,False,False,
T6_ARTEFACT_MAIN_RAPIER_MORGANA,6,MAIN,RAPIER_MORGANA,0,True,False,False,
T6_ARTEFACT_MAIN_ROCKMACE_KEEPER,6,MAIN,ROCKMACE_KEEPER,0,True,False,False,
T6_ARTEFACT_MAIN_SCIMITAR_MORGANA,6,MAIN,SCIMITAR_MORGANA,0,True,False,False,
T6_ARTEFACT_MAIN_SPEAR_KEEPER,6,MAIN,SPEAR_KEEPER,0,True,False,False,
T7_ARTEFACT_2H_ARCANESTAFF_HELL,7,2H,ARCANESTAFF_HELL,0,True,False,False,
T7_ARTEFACT_2H_BOW_HELL,7,2H,BOW_HELL,0,True,False,False,
T7_ARTEFACT_2H_BOW_KEEPER,7,2H,BOW_KEEPER,0,True,False,False,
T7_ARTEFACT_2H_CLEAVER_HELL,7,2H,CLEAVER_HELL,0,True,False,False,
T7_ARTEFACT_2H_COMBATSTAFF_MORGANA,7,2H,COMBATSTAFF_MORGANA,0,True,False,False,
T7_ARTEFACT_2H_CROSSBOWLARGE_MORGANA,7,2H,CROSSBOWLARGE_MORGANA,0,True,False,False,
T7_ARTEFACT_2H_DUALAXE_KEEPER,7,2H,DUALAXE_KEEPER,0,True,False,False,
T7_ARTEFACT_2H_DUALCROSSBOW_HELL,7,2H,DUALCROSSBOW_HELL,0,True,False,False,
T7_ARTEFACT_2H_DUALHAMMER_HELL,7,2H,DUALHAMMER_HELL,0,True,False,False,
T7_ARTEFACT_2H_DUALSCIMITAR_UNDEAD,7,2H,DUALSCIMITAR_UNDEAD,0,True,False,False,
T7_ARTEFACT_2H_DUALSICKLE_UNDEAD,7,2H,DUALSICKLE_UNDEAD,0,True,False,False,
T7_ARTEFACT_2H_ENIGMATICORB_MORGANA,7,2H,ENIGMATICORB_MORGANA,0,True,False,False,
T7_ARTEFACT_2H_FIRESTAFF_HELL,7,2H,FIRESTAFF_HELL,0,True,False,False,
T7_ARTEFACT_2H_HALBERD_MORGANA,7,2H,HALBERD_MORGANA,0,True,False,False,
T7_ARTEFACT_2H_HAMMER_UNDEAD,7,2H,HAMMER_UNDEAD,0,True,False,False,
T7_ARTEFACT_2H_HARPOON_HELL,7,2H,HARPOON_HELL,0,True,False,False,
T7_ARTEFACT_MAIN_HOLYSTAFF_MORGANA,7,MAIN,HOLYSTAFF_MORGANA,0,True,False,False,
T7_ARTEFACT_2H_HOLYSTAFF_HELL,7,2H,HOLYSTAFF_HELL,0,True,False,False,
T7_ARTEFACT_2H_HOLYSTAFF_UNDEAD,7,2H,HOLYSTAFF_UNDEAD,0,True,False,False,
T7_ARTEFACT_2H_ICECRYSTAL_UNDEAD,7,2H,ICECRYSTAL_UNDEAD,0,True,False,False,
T7_ARTEFACT_2H_ICEGAUNTLETS_HELL,7,2H,ICEGAUNTLETS_HELL,0,True,False,False,
T7_ARTEFACT_2H_INFERNOSTAFF_MORGANA,7,2H,INFERNOSTAFF_MORGANA,0,True,False,False,
T7_ARTEFACT_2H_IRONGAUNTLETS_HELL,7,2H,IRONGAUNTLETS_HELL,0,True,False,False,
T7_ARTEFACT_2H_LONGBOW_UNDEAD,7,2H,LONGBOW_UNDEAD,0,True,False,False,
T7_ARTEFACT_2H_MACE_MORGANA,7,2H,MACE_MORGANA,0,True,False,False,
T7_ARTEFACT_2H_NATURESTAFF_HELL,7,2H,NATURESTAFF_HELL,0,True,False,False,
T7_ARTEFACT_2H_NATURESTAFF_KEEPER,7,2H,NATURESTAFF_KEEPER,0,True,False,False,
T7_ARTEFACT_2H_RAM_KEEPER,7,2H,RAM_KEEPER,0,True,False,False,
T7_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,7,2H,REPEATINGCROSSBOW_UNDEAD,0,True,False,False,
T7_ARTEFACT_2H_ROCKSTAFF_KEEPER,7,2H,ROCKSTAFF_KEEPER,0,True,False,False,
T7_ARTEFACT_2H_SKULLORB_HELL,7,2H,SKULLORB_HELL,0,True,False,False,
T7_ARTEFACT_2H_TRIDENT_UNDEAD,7,2H,TRIDENT_UNDEAD,0,True,False,False,
T7_ARTEFACT_2H_TWINSCYTHE_HELL,7,2H,TWINSCYTHE_HELL,0,True,False,False,
T7_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD,7,MAIN,ARCANESTAFF_UNDEAD,0,True,False,False,
T7_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD,7,MAIN,CURSEDSTAFF_UNDEAD,0,True,False,False,
T7_ARTEFACT_MAIN_FIRESTAFF_KEEPER,7,MAIN,FIRESTAFF_KEEPER,0,True,False,False,
T7_ARTEFACT_MAIN_FROSTSTAFF_KEEPER,7,MAIN,FROSTSTAFF_KEEPER,0,True,False,False,
T7_ARTEFACT_MAIN_MACE_HELL,7,MAIN,MACE_HELL,0,True,False,False,
T7_ARTEFACT_MAIN_NATURESTAFF_KEEPER,7,MAIN,NATURESTAFF_KEEPER,0,True,False,False,
T7_ARTEFACT_MAIN_RAPIER_MORGANA,7,MAIN,RAPIER_MORGANA,0,True,False,False,
T7_ARTEFACT_MAIN_ROCKMACE_KEEPER,7,MAIN,ROCKMACE_KEEPER,0,True,False,False,
T7_ARTEFACT_MAIN_SCIMITAR_MORGANA,7,MAIN,SCIMITAR_MORGANA,0,True,False,False,
T7_ARTEFACT_MAIN_SPEAR_KEEPER,7,MAIN,SPEAR_KEEPER,0,True,False,False,
T8_ARTEFACT_2H_ARCANESTAFF_HELL,8,2H,ARCANESTAFF_HELL,0,True,False,False,
T8_ARTEFACT_2H_BOW_HELL,8,2H,BOW_HELL,0,True,False,False,
T8_ARTEFACT_2H_BOW_KEEPER,8,2H,BOW_KEEPER,0,True,False,False,
T8_ARTEFACT_2H_CLEAVER_HELL,8,2H,CLEAVER_HELL,0,True,False,False,
T8_ARTEFACT_2H_COMBATSTAFF_MORGANA,8,2H,COMBATSTAFF_MORGANA,0,True,False,False,
T8_ARTEFACT_2H_CROSSBOWLARGE_MORGANA,8,2H,CROSSBOWLARGE_MORGANA,0,True,False,False,
T8_ARTEFACT_2H_DUALAXE_KEEPER,8,2H,DUALAXE_KEEPER,0,True,False,False,
T8_ARTEFACT_2H_DUALCROSSBOW_HELL,8,2H,DUALCROSSBOW_HELL,0,True,False,False,
T8_ARTEFACT_2H_DUALHAMMER_HELL,8,2H,DUALHAMMER_HELL,0,True,False,False,
T8_ARTEFACT_2H_DUALSCIMITAR_UNDEAD,8,2H,DUALSCIMITAR_UNDEAD,0,True,False,False,
T8_ARTEFACT_2H_DUALSICKLE_UNDEAD,8,2H,DUALSICKLE_UNDEAD,0,True,False,False,
T8_ARTEFACT_2H_ENIGMATICORB_MORGANA,8,2H,ENIGMATICORB_MORGANA,0,True,False,False,
T8_ARTEFACT_2H_FIRESTAFF_HELL,8,2H,FIRESTAFF_HELL,0,True,False,False,
T8_ARTEFACT_2H_HALBERD_MORGANA,8,2H,HALBERD_MORGANA,0,True,False,False,
T8_ARTEFACT_2H_HAMMER_UNDEAD,8,2H,HAMMER_UNDEAD,0,True,False,False,
T8_ARTEFACT_2H_HARPOON_HELL,8,2H,HARPOON_HELL,0,True,False,False,
T8_ARTEFACT_MAIN_HOLYSTAFF_MORGANA,8,MAIN,HOLYSTAFF_MORGANA,0,True,False,False,
T8_ARTEFACT_2H_HOLYSTAFF_HELL,8,2H,HOLYSTAFF_HELL,0,True,False,False,
T8_ARTEFACT_2H_HOLYSTAFF_UNDEAD,8,2H,HOLYSTAFF_UNDEAD,0,True,False,False,
T8_ARTEFACT_2H_ICECRYSTAL_UNDEAD,8,2H,ICECRYSTAL_UNDEAD,0,True,False,False,
T8_ARTEFACT_2H_ICEGAUNTLETS_HELL,8,2H,ICEGAUNTLETS_HELL,0,True,False,False,
T8_ARTEFACT_2H_INFERNOSTAFF_MORGANA,8,2H,INFERNOSTAFF_MORGANA,0,True,False,False,
T8_ARTEFACT_2H_IRONGAUNTLETS_HELL,8,2H,IRONGAUNTLETS_HELL,0,True,False,False,
T8_ARTEFACT_2H_LONGBOW_UNDEAD,8,2H,LONGBOW_UNDEAD,0,True,False,False,
T8_ARTEFACT_2H_MACE_MORGANA,8,2H,MACE_MORGANA,0,True,False,False,
T8_ARTEFACT_2H_NATURESTAFF_HELL,8,2H,NATURESTAFF_HELL,0,True,False,False,
T8_ARTEFACT_2H_NATURESTAFF_KEEPER,8,2H,NATURESTAFF_KEEPER,0,True,False,False,
T8_ARTEFACT_2H_RAM_KEEPER,8,2H,RAM_KEEPER,0,True,False,False,
T8_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,8,2H,REPEATINGCROSSBOW_UNDEAD,0,True,False,False,
T8_ARTEFACT_2H_ROCKSTAFF_KEEPER,8,2H,ROCKSTAFF_KEEPER,0,True,False,False,
T8_ARTEFACT_2H_SKULLORB_HELL,8,2H,SKULLORB_HELL,0,True,False,False,
T8_ARTEFACT_2H_TRIDENT_UNDEAD,8,2H,TRIDENT_UNDEAD,0,True,False,False,
T8_ARTEFACT_2H_TWINSCYTHE_HELL,8,2H,TWINSCYTHE_HELL,0,True,False,False,
T8_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD,8,MAIN,ARCANESTAFF_UNDEAD,0,True,False,False,
T8_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD,8,MAIN,CURSEDSTAFF_UNDEAD,0,True,False,False,
T8_ARTEFACT_MAIN_FIRESTAFF_KEEPER,8,MAIN,FIRESTAFF_KEEPER,0,True,False,False,
T8_ARTEFACT_MAIN_FROSTSTAFF_KEEPER,8,MAIN,FROSTSTAFF_KEEPER,0,True,False,False,
T8_ARTEFACT_MAIN_MACE_HELL,8,MAIN,MACE_HELL,0,True,False,False,
T8_ARTEFACT_MAIN_NATURESTAFF_KEEPER,8,MAIN,NATURESTAFF_KEEPER,0,True,False,False,
T8_ARTEFACT_MAIN_RAPIER_MORGANA,8,MAIN,RAPIER_MORGANA,0,True,False,False,
T8_ARTEFACT_MAIN_ROCKMACE_KEEPER,8,MAIN,ROCKMACE_KEEPER,0,True,False,False,
T8_ARTEFACT_MAIN_SCIMITAR_MORGANA,8,MAIN,SCIMITAR_MORGANA,0,True,False,False,
T8_ARTEFACT_MAIN_SPEAR_KEEPER,8,MAIN,SPEAR_KEEPER,0,True,False,False,
T4_ARTEFACT_2H_DAGGER_KATAR_AVALON,4,2H,DAGGER_KATAR_AVALON,0,True,False,False,
T4_ARTEFACT_MAIN_SPEAR_LANCE_AVALON,4,MAIN,SPEAR_LANCE_AVALON,0,True,False,False,
T4_ARTEFACT_2H_AXE_AVALON,4,2H,AXE_AVALON,0,True,False,False,
T4_ARTEFACT_2H_CLAYMORE_AVALON,4,2H,CLAYMORE_AVALON,0,True,False,False,
T4_ARTEFACT_2H_QUARTERSTAFF_AVALON,4,2H,QUARTERSTAFF_AVALON,0,True,False,False,
T4_ARTEFACT_2H_HAMMER_AVALON,4,2H,HAMMER_AVALON,0,True,False,False,
T4_ARTEFACT_2H_DUALMACE_AVALON,4,2H,DUALMACE_AVALON,0,True,False,False,
T4_ARTEFACT_2H_BOW_AVALON,4,2H,BOW_AVALON,0,True,False,False,
T4_ARTEFACT_2H_CROSSBOW_CANNON_AVALON,4,2H,CROSSBOW_CANNON_AVALON,0,True,False,False,
T4_ARTEFACT_MAIN_CURSEDSTAFF_AVALON,4,MAIN,CURSEDSTAFF_AVALON,0,True,False,False,
T4_ARTEFACT_2H_FIRE_RINGPAIR_AVALON,4,2H,FIRE_RINGPAIR_AVALON,0,True,False,False,
T4_ARTEFACT_MAIN_FROSTSTAFF_AVALON,4,MAIN,FROSTSTAFF_AVALON,0,True,False,False,
T4_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON,4,2H,ARCANE_RINGPAIR_AVALON,0,True,False,False,
T4_ARTEFACT_MAIN_HOLYSTAFF_AVALON,4,MAIN,HOLYSTAFF_AVALON,0,True,False,False,
